"","full_name","FIPS","state","county","date","population","cases.nyt","cases_adj.nyt","cases_adj_int.nyt","deaths.nyt","deaths_adj.nyt","deaths_adj_int.nyt","tested.cds","tested_adj.cds","tested_adj_int.cds","new_cases.nyt","new_cases_adj_int.nyt","new_deaths.nyt","new_deaths_adj_int.nyt","new_tests.cds","new_tests_adj_int.cds"
"1","New York City, New York, US","36061","New York","New York",2020-01-22,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"2","New York City, New York, US","36061","New York","New York",2020-01-23,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"3","New York City, New York, US","36061","New York","New York",2020-01-24,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"4","New York City, New York, US","36061","New York","New York",2020-01-25,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"5","New York City, New York, US","36061","New York","New York",2020-01-26,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"6","New York City, New York, US","36061","New York","New York",2020-01-27,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"7","New York City, New York, US","36061","New York","New York",2020-01-28,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"8","New York City, New York, US","36061","New York","New York",2020-01-29,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"9","New York City, New York, US","36061","New York","New York",2020-01-30,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"10","New York City, New York, US","36061","New York","New York",2020-01-31,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"11","New York City, New York, US","36061","New York","New York",2020-02-01,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"12","New York City, New York, US","36061","New York","New York",2020-02-02,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"13","New York City, New York, US","36061","New York","New York",2020-02-03,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"14","New York City, New York, US","36061","New York","New York",2020-02-04,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"15","New York City, New York, US","36061","New York","New York",2020-02-05,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"16","New York City, New York, US","36061","New York","New York",2020-02-06,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"17","New York City, New York, US","36061","New York","New York",2020-02-07,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"18","New York City, New York, US","36061","New York","New York",2020-02-08,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"19","New York City, New York, US","36061","New York","New York",2020-02-09,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"20","New York City, New York, US","36061","New York","New York",2020-02-10,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"21","New York City, New York, US","36061","New York","New York",2020-02-11,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"22","New York City, New York, US","36061","New York","New York",2020-02-12,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"23","New York City, New York, US","36061","New York","New York",2020-02-13,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"24","New York City, New York, US","36061","New York","New York",2020-02-14,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"25","New York City, New York, US","36061","New York","New York",2020-02-15,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"26","New York City, New York, US","36061","New York","New York",2020-02-16,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"27","New York City, New York, US","36061","New York","New York",2020-02-17,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"28","New York City, New York, US","36061","New York","New York",2020-02-18,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"29","New York City, New York, US","36061","New York","New York",2020-02-19,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
"30","New York City, New York, US","36061","New York","New York",2020-02-20,1632480,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
